,Precision,Recall,Latency-Retriever,Latency-Generator
0,0.0,0.0,1.5908467769622803,2.0757570266723633
1,0.3333333333333333,1.0,1.1345665454864502,8.61485242843628
2,0.3333333333333333,0.5,1.5880839824676514,5.844331502914429
3,0.0,0.0,1.257826805114746,4.401458501815796
4,0.0,0.0,1.2786979675292969,2.3273019790649414
5,0.0,0.0,1.4920003414154053,4.115645408630371
6,0.0,0.0,1.0200414657592773,5.913405179977417
7,0.0,0.0,1.586287260055542,4.964241027832031
8,0.0,0.0,1.5752742290496826,6.797698020935059
9,0.0,0.0,1.110074520111084,5.40991735458374
10,0.0,0.0,1.5554568767547607,6.679472923278809
11,0.3333333333333333,0.5,1.252122163772583,5.240237474441528
12,0.0,0.0,1.2912414073944092,5.927249431610107
13,0.0,0.0,1.3682630062103271,5.69730806350708
14,0.0,0.0,1.1987385749816895,5.6459641456604
